Miejsce;Dru¿yna;Mecze;Punkty_po_rundzie_I;Punkty_po_rundzie_II;Zwyciêstwa;Remisy;Pora¿ki;Bramki zdobyte;Bramki stracone;Punkty suma 2013/14;Bud¿et 2013/2014;Bud¿et 2012/2013;Bud¿et 2011/2012;Punkty 2012/2013;Punkty 2011/2012;Stadion pojemnoœæ;Œrednia frekwencja 2013/2014;Szerokoœæ Geo;D³ugoœæ Geo; Œrednia wartoœæ rynkowa Transfermarkt [mln Euro];Pensje 2013 [mln z³]
1;Legia Warszawa ;37;63;50;26;3;8;75;34;81;100;80;80;67;53;31103;17009;52.220477; 21.040652;0.587;42
2;Lech Poznañ;37;53;40;19;9;9;68;40;66;45;47;45;61;52;43269;19571;52.397561; 16.858047;0.501;21
3;Ruch Chorzów;37;50;34;16;11;10;47;48;59;18;18;18;31;55;10000;6370;50.2822; 18.9442;0.195;8
4;Lechia Gdañsk;37;40;32;13;13;11;46;41;52;20;24;28;38;;43615;13004;54.391111; 18.640556;0.253;10
5;Wis³a Kraków;37;45;31;14;11;12;51;46;53;40;40;55;38;43;33326;12507;50.0636; 19.9119;0.311;10
6;Górnik Zabrze;37;42;31;14;10;13;53;57;52;15;15;15;43;42;3500;3000;50.296317; 18.768564;0.302;16
7;Pogoñ Szczecin;37;47;27;11;17;9;50;50;50;18;18;;35;;18027;7508;53.436575; 14.518658;0.284;12
8;Zawisza Bydgoszcz;37;42;25;12;10;15;48;48;46;12;;;;;20247;4562;53.145556; 18.020278;0.233;7
9;Œl¹sk Wroc³aw;37;34;34;12;15;10;49;41;51;25;25;25;47;56;45105;10356;51.141111; 16.943333;0.417;16
10;Podbeskidzie Bielsko-Bia³a;37;31;30;10;15;12;39;45;45;9;11;12;32;35;3345;3064;49.8174; 19.0543;0.175;6.5
11;Jagiellonia Bia³ystok;37;39;29;12;12;13;59;58;48;20;20;20;37;39;6700;4829;53.1056; 23.1489;0.251;10
12;Piast Gliwice;37;34;28;11;12;14;43;56;45;18;17.5;;46;;10037;5159;50.3066; 18.6959;0.359;10
13;Korona Kielce;37;37;26;10;14;13;47;56;44;18;18;20;36;48;15550;6669;50.861389; 20.624722;0.249;8.5
14;Cracovia;37;39;25;12;8;17;43;56;44;19.5;;30;;22;15114;7401;50.0581; 19.9197;0.225;5
15;Widzew £ódŸ;37;22;22;8;9;20;36;59;33;13;15;22;33;39;10500;5365;51.765089; 19.511667;0.179;3.5
16;Zag³êbie Lubin;37;29;16;7;9;21;32;51;30;35;35;35;37;40;16068;5992;51.413333; 16.1975;0.323;12
